dataset_name,source_session,collector,gesture,trial_index,t_start,t_end,duration_s,imu_sample_count,imu_mean_rate_hz,mmwave_frame_count,mmwave_mean_rate_hz,uwb_round_count,uwb_mean_rate_hz,npz_path,session_dir
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Right,23,325459.812000,325461.906000,2.094000,210,100.29,21,10.03,10,4.78,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Right_023.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Right,24,325465.406000,325467.484000,2.078000,209,100.58,21,10.11,10,4.81,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Right_024.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Left,25,325475.953000,325477.968000,2.015000,202,100.25,20,9.93,10,4.96,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Left_025.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Left,26,325482.593000,325484.656000,2.063000,206,99.85,21,10.18,11,5.33,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Left_026.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Left,27,325487.750000,325489.812000,2.062000,208,100.87,19,9.21,11,5.33,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Left_027.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Left,28,325492.671000,325494.734000,2.063000,206,99.85,21,10.18,10,4.85,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Left_028.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Left,29,325498.859000,325500.921000,2.062000,206,99.90,21,10.18,10,4.85,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Left_029.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Left,30,325504.625000,325506.734000,2.109000,211,100.05,22,10.43,10,4.74,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Left_030.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Left,31,325510.859000,325512.921000,2.062000,206,99.90,20,9.70,10,4.85,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Left_031.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Left,32,325518.671000,325520.718000,2.047000,206,100.64,19,9.28,10,4.89,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Left_032.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Clapping,33,325526.796000,325528.843000,2.047000,206,100.64,21,10.26,11,5.37,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Clapping_033.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Clapping,34,325533.250000,325535.281000,2.031000,203,99.95,20,9.85,10,4.92,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Clapping_034.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Clapping,35,325537.875000,325539.937000,2.062000,208,100.87,21,10.18,10,4.85,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Clapping_035.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Clapping,36,325542.203000,325544.296000,2.093000,211,100.81,21,10.03,10,4.78,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Clapping_036.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Clapping,37,325546.625000,325548.671000,2.046000,206,100.68,21,10.26,10,4.89,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Clapping_037.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Clapping,38,325550.296000,325552.296000,2.000000,201,100.50,20,10.00,10,5.00,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Clapping_038.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Clapping,39,325554.156000,325556.203000,2.047000,206,100.64,20,9.77,11,5.37,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Clapping_039.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536,eric,Clapping,40,325558.140000,325560.218000,2.078000,208,100.10,20,9.62,11,5.29,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\eric_Clapping_040.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_131536
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,1,327719.687000,327721.734000,2.047000,205,100.15,20,9.77,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Pull_001.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,2,327726.750000,327728.828000,2.078000,210,101.06,21,10.11,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Pull_002.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,3,327732.125000,327734.203000,2.078000,209,100.58,21,10.11,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Pull_003.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,4,327736.750000,327738.750000,2.000000,200,100.00,20,10.00,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Pull_004.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,5,327741.640000,327743.734000,2.094000,209,99.81,21,10.03,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Pull_005.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,6,327746.687000,327748.687000,2.000000,202,101.00,21,10.50,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Pull_006.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,7,327751.015000,327753.093000,2.078000,208,100.10,21,10.11,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Pull_007.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Pull,8,327756.078000,327758.187000,2.109000,212,100.52,22,10.43,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Pull_008.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Push,9,327763.875000,327765.968000,2.093000,209,99.86,21,10.03,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Push_009.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Push,10,327804.187000,327806.250000,2.063000,206,99.85,21,10.18,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Push_010.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Push,11,327809.734000,327811.796000,2.062000,208,100.87,21,10.18,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Push_011.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Push,12,327814.906000,327817.000000,2.094000,210,100.29,21,10.03,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Push_012.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Push,13,327819.890000,327821.968000,2.078000,208,100.10,20,9.62,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Push_013.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Push,14,327824.875000,327826.968000,2.093000,210,100.33,21,10.03,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Push_014.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Push,15,327829.906000,327831.953000,2.047000,204,99.66,20,9.77,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Push_015.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Push,16,327835.343000,327837.437000,2.094000,210,100.29,21,10.03,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Push_016.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Right,17,327860.296000,327862.375000,2.079000,209,100.53,21,10.10,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Right_017.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Right,18,327983.812000,327985.859000,2.047000,207,101.12,20,9.77,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Right_018.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Right,19,327992.328000,327994.406000,2.078000,209,100.58,21,10.11,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Right_019.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Right,20,328009.765000,328011.859000,2.094000,210,100.29,21,10.03,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Right_020.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Right,21,328016.375000,328018.453000,2.078000,209,100.58,21,10.11,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Right_021.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Right,22,328022.109000,328024.171000,2.062000,207,100.39,20,9.70,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Right_022.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Right,23,328027.984000,328030.031000,2.047000,206,100.64,21,10.26,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Right_023.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Right,24,328033.750000,328035.843000,2.093000,210,100.33,21,10.03,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Right_024.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Left,25,328042.265000,328044.343000,2.078000,209,100.58,21,10.11,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Left_025.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Left,26,328047.890000,328049.953000,2.063000,208,100.82,19,9.21,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Left_026.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Left,27,328053.640000,328055.687000,2.047000,205,100.15,21,10.26,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Left_027.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Left,28,328059.125000,328061.171000,2.046000,205,100.20,20,9.78,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Left_028.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Left,29,328064.281000,328066.328000,2.047000,205,100.15,21,10.26,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Left_029.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Left,30,328069.968000,328072.046000,2.078000,207,99.62,21,10.11,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Left_030.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Left,31,328075.421000,328077.484000,2.063000,207,100.34,20,9.69,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Left_031.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
gesture_eric_jianhao_v1,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750,jianhao,Left,32,328081.062000,328083.093000,2.031000,203,99.95,21,10.34,0,0,C:\Users\Prutha Pandit\cosmos_final_project\datasets\gesture_eric_jianhao_v1\trials\jianhao_Left_032.npz,C:\Users\Prutha Pandit\cosmos_final_project\data\raw\session_20260724_135750
