trial_index,gesture,t_start,t_end,accepted
100,Two-Arm Boxing,509066.765000,509068.843000,1
101,T-Arm,509079.546000,509081.609000,1
102,T-Arm,509087.328000,509089.421000,1
103,T-Arm,509091.968000,509094.031000,1
104,T-Arm,509096.781000,509098.781000,1
105,T-Arm,509101.687000,509103.687000,1
106,T-Arm,509106.453000,509108.500000,1
107,T-Arm,509111.078000,509113.156000,1
108,T-Arm,509116.000000,509118.046000,1
109,T-Arm,509120.609000,509122.703000,1
110,T-Arm,509126.703000,509128.781000,1
111,Raise Arms,509153.546000,509155.609000,1
112,Raise Arms,509181.656000,509183.687000,1
113,Raise Arms,509186.218000,509188.281000,1
114,Raise Arms,509191.281000,509193.312000,1
115,Raise Arms,509196.687000,509198.781000,1
116,Raise Arms,509201.671000,509203.734000,1
117,Raise Arms,509206.890000,509208.984000,1
118,Raise Arms,509212.750000,509214.796000,1
119,Raise Arms,509217.812000,509219.859000,1
120,Raise Arms,509223.234000,509225.312000,1
121,Soli,509239.843000,509241.921000,1
122,Soli,509244.890000,509246.953000,1
123,Soli,509249.109000,509251.156000,1
124,Soli,509253.328000,509255.375000,1
125,Soli,509257.562000,509259.609000,1
126,Soli,509262.125000,509264.171000,1
127,Soli,509266.156000,509268.250000,1
128,Soli,509270.906000,509272.937000,1
129,Soli,509275.578000,509277.656000,1
130,Soli,509280.546000,509282.609000,1
131,Making Fist and Open,509291.921000,509293.937000,1
132,Making Fist and Open,509295.781000,509297.828000,1
133,Making Fist and Open,509299.218000,509301.296000,1
134,Making Fist and Open,509302.843000,509304.921000,1
135,Making Fist and Open,509306.203000,509308.234000,1
136,Making Fist and Open,509309.609000,509311.656000,1
137,Making Fist and Open,509313.000000,509315.046000,1
138,Making Fist and Open,509316.343000,509318.406000,1
139,Making Fist and Open,509320.421000,509322.515000,1
140,Making Fist and Open,509325.015000,509327.078000,1
141,Palm Up-Down,509337.093000,509339.140000,1
142,Palm Up-Down,509340.843000,509342.906000,1
143,Palm Up-Down,509344.156000,509346.250000,1
144,Palm Up-Down,509347.390000,509349.453000,1
145,Palm Up-Down,509350.578000,509352.640000,1
146,Palm Up-Down,509353.781000,509355.843000,1
147,Palm Up-Down,509356.921000,509358.984000,1
148,Palm Up-Down,509360.218000,509362.265000,1
149,Palm Up-Down,509363.593000,509365.703000,1
150,Palm Up-Down,509367.109000,509369.171000,1
